Timestamp,Piloto,Volta,Tempo,Media_3_Voltas,Consumo_Volta,Combustivel_Restante,Tempo_Prova_Restante_s,Voltas_Restantes_Estimadas,Pista
15:51:57,Tomaz Nunes,1,10.127,10.127,0.051,23.763,604800.0,59719.77,skidpad
16:07:56,Tomaz Nunes,1,81.637,81.637,0.0,93.702,240.9,2.95,summit summit raceway
16:09:17,Tomaz Nunes,2,80.591,81.114,0.0,95.774,159.6,1.97,summit summit raceway
16:21:05,Tomaz Nunes,3,79.89,80.706,0.0,97.323,6933.1,85.91,summit summit raceway
16:22:26,Tomaz Nunes,4,80.565,80.349,0.438,96.885,6852.2,85.28,summit summit raceway
16:23:46,Tomaz Nunes,5,80.884,80.446,0.0,97.716,6772.0,84.18,summit summit raceway
16:25:07,Tomaz Nunes,6,80.142,80.53,0.028,97.688,6690.9,83.09,summit summit raceway
16:26:28,Tomaz Nunes,7,81.128,80.718,0.0,98.286,6610.3,81.89,summit summit raceway
16:27:48,Tomaz Nunes,8,80.697,80.655,0.0,101.594,6530.6,80.97,summit summit raceway
16:29:10,Tomaz Nunes,9,79.66,80.495,1.143,100.451,6448.3,80.11,summit summit raceway
16:30:30,Tomaz Nunes,10,82.224,80.86,0.0,103.531,6367.8,78.75,summit summit raceway
16:31:51,Tomaz Nunes,11,80.512,80.799,2.73,100.801,6286.8,77.81,summit summit raceway
16:33:12,Tomaz Nunes,12,81.039,81.258,1.996,98.805,6205.9,76.37,summit summit raceway
16:34:32,Tomaz Nunes,13,80.93,80.827,0.083,98.722,6125.8,75.79,summit summit raceway
16:35:53,Tomaz Nunes,14,80.097,80.689,1.331,97.391,6045.5,74.92,summit summit raceway
16:37:12,Tomaz Nunes,15,80.278,80.435,0.0,97.46,5965.8,74.17,summit summit raceway
16:38:32,Tomaz Nunes,16,79.747,80.041,0.187,97.272,5886.4,73.54,summit summit raceway
16:39:51,Tomaz Nunes,17,79.369,79.798,0.0,97.841,5807.1,72.77,summit summit raceway
16:41:11,Tomaz Nunes,18,79.259,79.458,0.0,99.467,5727.5,72.08,summit summit raceway
16:42:31,Tomaz Nunes,19,79.666,79.431,0.0,100.063,5647.3,71.1,summit summit raceway
16:43:52,Tomaz Nunes,20,80.141,79.689,1.117,98.946,5566.1,69.85,summit summit raceway
16:46:32,Tomaz Nunes,21,81.219,80.342,0.0,101.942,5405.7,67.28,summit summit raceway
16:47:59,Tomaz Nunes,22,85.357,82.239,3.343,98.599,5319.2,64.68,summit summit raceway
16:49:19,Tomaz Nunes,23,79.899,82.158,0.0,98.869,5238.9,63.77,summit summit raceway
16:50:40,Tomaz Nunes,24,80.228,81.828,0.286,98.584,5158.5,63.04,summit summit raceway
16:52:00,Tomaz Nunes,25,80.702,80.276,0.0,99.148,5078.3,63.26,summit summit raceway
16:53:21,Tomaz Nunes,26,80.773,80.568,0.0,99.868,4996.9,62.02,summit summit raceway
16:54:41,Tomaz Nunes,27,80.817,80.764,0.0,100.388,4916.6,60.88,summit summit raceway
16:56:02,Tomaz Nunes,28,79.676,80.422,0.694,99.694,4836.2,60.14,summit summit raceway
16:57:21,Tomaz Nunes,29,79.32,79.938,0.0,100.552,4757.0,59.51,summit summit raceway
16:58:41,Tomaz Nunes,30,80.726,79.908,0.0,101.641,4676.7,58.53,summit summit raceway
17:00:02,Tomaz Nunes,31,80.617,80.221,2.815,98.826,4596.3,57.3,summit summit raceway
17:01:22,Tomaz Nunes,32,79.608,80.317,0.0,99.821,4516.0,56.23,summit summit raceway
17:02:42,Tomaz Nunes,33,80.575,80.267,1.004,98.818,4435.7,55.26,summit summit raceway
17:04:03,Tomaz Nunes,34,80.213,80.132,0.729,98.088,4355.4,54.35,summit summit raceway
17:05:23,Tomaz Nunes,35,80.45,80.412,0.719,97.37,4275.0,53.16,summit summit raceway
17:06:43,Tomaz Nunes,36,80.455,80.373,0.644,96.726,4194.8,52.19,summit summit raceway
17:08:06,Tomaz Nunes,37,82.596,81.167,0.0,99.128,4112.4,50.67,summit summit raceway
17:09:28,Tomaz Nunes,38,81.534,81.528,0.343,98.785,4030.1,49.43,summit summit raceway
17:10:48,Tomaz Nunes,39,81.242,81.791,0.0,100.842,3949.7,48.29,summit summit raceway
17:12:12,Tomaz Nunes,40,82.977,81.918,0.636,100.206,3866.4,47.2,summit summit raceway
17:13:35,Tomaz Nunes,41,83.234,82.484,2.701,97.505,3783.1,45.86,summit summit raceway
17:14:55,Tomaz Nunes,42,80.305,82.172,0.0,98.829,3702.7,45.06,summit summit raceway
17:16:16,Tomaz Nunes,43,80.431,81.323,1.019,97.809,3622.4,44.54,summit summit raceway
17:17:37,Tomaz Nunes,44,80.758,80.498,0.658,97.151,3541.0,43.99,summit summit raceway
17:18:59,Tomaz Nunes,45,82.397,81.196,0.535,96.616,3458.6,42.6,summit summit raceway
17:20:20,Tomaz Nunes,46,80.309,81.155,0.371,96.245,3378.4,41.63,summit summit raceway
17:21:41,Tomaz Nunes,47,81.409,81.372,0.0,96.557,3297.0,40.52,summit summit raceway
