Timestamp,Sessao,Pista,Equipe,Piloto,UserID,Tempo,Media_3_Voltas,Consumo_Volta,Media_Consumo_3_Voltas,Combustivel_Restante,Pos_Geral,Pos_Classe,Voltas_Restantes_Estimadas
12:27:32,Race,Langley Speedway,Tomaz Nunes,Tomaz Nunes,1233784,20.371,20.371,0.212,0.212,19.915,3,3,0
12:27:48,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.642,18.506,0.135,0.174,19.78,5,5,0
12:28:04,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.459,17.824,0.15,0.166,19.63,4,4,0
12:28:21,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.242,16.448,0.14,0.141,19.491,4,4,0
