Timestamp,Sessao,Pista,Equipe,Piloto,UserID,Tempo,Media_3_Voltas,Consumo_Volta,Media_Consumo_3_Voltas,Combustivel_Restante,Pos_Geral,Pos_Classe,Voltas_Restantes_Estimadas
12:41:17,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,20.195,20.195,0.215,0.215,19.922,3,3,28.6
12:41:33,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.072,18.134,0.151,0.183,19.771,4,4,31.0
12:41:49,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.146,17.471,0.153,0.173,19.618,2,2,31.2
12:42:05,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.134,16.118,0.157,0.154,19.461,2,2,32.8
12:42:20,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.192,16.157,0.159,0.156,19.302,2,2,31.8
12:42:37,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,15.996,16.108,0.155,0.157,19.147,2,2,30.9
12:42:53,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,15.869,16.019,0.16,0.158,18.988,2,2,30.1
12:43:23,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,29.825,20.563,0.161,0.158,18.827,20,20,22.0
12:43:40,Race,Lanier National Speedway,Tomaz Nunes,Tomaz Nunes,1233784,16.88,20.858,0.166,0.162,18.661,19,19,20.8
