Timestamp,Piloto,Volta,Tempo,Media_3_Voltas,Consumo_Volta,Combustivel_Restante,Tempo_Prova_Restante_s,Voltas_Restantes_Estimadas,Pista
12:20:00,Tomaz Nunes,1,82.844,82.844,2.174,87.826,517.0,6.24,summit summit raceway
12:21:39,Tomaz Nunes,2,99.618,91.231,1.886,85.94,417.4,4.57,summit summit raceway
12:23:05,Tomaz Nunes,3,85.158,89.207,1.926,84.014,332.0,3.72,summit summit raceway
12:24:24,Tomaz Nunes,4,78.749,87.842,1.778,82.236,252.6,2.88,summit summit raceway
12:25:49,Tomaz Nunes,5,85.464,83.124,1.883,80.353,167.3,2.01,summit summit raceway
12:27:12,Tomaz Nunes,6,82.885,82.366,1.839,78.514,84.9,1.03,summit summit raceway
