Timestamp,Piloto,Volta,Tempo,Media_3_Voltas,Consumo_Volta,Combustivel_Restante,Tempo_Prova_Restante_s,Voltas_Restantes_Estimadas,Pista
11:38:29,Tomaz Nunes,1,10.249,10.249,0.0,23.76,604800.0,59009.48,skidpad
11:38:39,Tomaz Nunes,2,10.108,10.178,0.03,23.73,604800.0,59419.66,skidpad
11:38:50,Tomaz Nunes,3,11.109,10.489,0.042,23.688,604800.0,57661.87,skidpad
11:39:01,Tomaz Nunes,4,10.984,10.734,0.04,23.648,604800.0,56345.9,skidpad
11:39:12,Tomaz Nunes,5,11.19,11.095,0.066,23.582,604800.0,54513.17,skidpad
11:39:33,Tomaz Nunes,6,19.931,14.035,0.122,23.461,604800.0,43091.35,skidpad
